Result,Address A,Size A,Address B,Size B
Match,0h,14Eh,0h,14Eh
Difference,14Eh,2h,14Eh,2h
Match,150h,65h,150h,65h
Difference,1B5h,2h,1B5h,2h
Match,1B7h,Dh,1B7h,Dh
Difference,1C4h,1h,1C4h,1h
Match,1C5h,132h,1C5h,132h
Difference,2F7h,1h,2F7h,1h
Match,2F8h,27Bh,2F8h,27Bh
Difference,573h,2h,573h,2h
Match,575h,Dh,575h,Dh
Difference,582h,2h,582h,2h
Match,584h,1Ah,584h,1Ah
Difference,59Eh,2h,59Eh,2h
Match,5A0h,4Eh,5A0h,4Eh
Difference,5EEh,1h,5EEh,1h
Match,5EFh,2Ch,5EFh,2Ch
Difference,61Bh,1h,61Bh,1h
Match,61Ch,27h,61Ch,27h
Difference,643h,1h,643h,1h
Match,644h,24h,644h,24h
Difference,668h,1h,668h,1h
Match,669h,18h,669h,18h
Difference,681h,1h,681h,1h
Match,682h,15Eh,682h,15Eh
Difference,7E0h,2h,7E0h,2h
Match,7E2h,8Eh,7E2h,8Eh
Difference,870h,1h,870h,1h
Match,871h,26h,871h,26h
Difference,897h,1h,897h,1h
Match,898h,4Fh,898h,4Fh
Difference,8E7h,2h,8E7h,64h
Match,8E9h,Dh,94Bh,Dh
Difference,8F6h,2h,958h,2h
Match,8F8h,1h,95Ah,1h
Only in B,,,95Bh,2h
Match,8F9h,1h,95Dh,1h
Difference,8FAh,3h,95Eh,1h
Match,8FDh,2h,95Fh,2h
Difference,8FFh,2h,961h,2h
Match,901h,71h,963h,71h
Difference,972h,1h,9D4h,1h
Match,973h,155h,9D5h,155h
Difference,AC8h,1h,B2Ah,1h
Match,AC9h,2Fh,B2Bh,2Fh
Difference,AF8h,2h,B5Ah,2h
Match,AFAh,2h,B5Ch,2h
Difference,AFCh,1h,B5Eh,1h
Match,AFDh,33h,B5Fh,33h
Difference,B30h,1h,B92h,1h
Match,B31h,Bh,B93h,Bh
Difference,B3Ch,1h,B9Eh,1h
Match,B3Dh,4h,B9Fh,4h
Difference,B41h,1h,BA3h,1h
Match,B42h,6h,BA4h,6h
Difference,B48h,1h,BAAh,1h
Match,B49h,9h,BABh,9h
Difference,B52h,1h,BB4h,1h
Match,B53h,6h,BB5h,6h
Difference,B59h,2h,BBBh,2h
Match,B5Bh,7h,BBDh,7h
Difference,B62h,2h,BC4h,2h
Match,B64h,2Dh,BC6h,2Dh
Difference,B91h,1h,BF3h,1h
Match,B92h,9h,BF4h,9h
Difference,B9Bh,1h,BFDh,1h
Match,B9Ch,21Eh,BFEh,21Eh
Only in A,DBAh,1h,,
Match,DBBh,1h,E1Ch,1h
Only in B,,,E1Dh,1h
Match,DBCh,5Bh,E1Eh,5Bh
Difference,E17h,1h,E79h,1h
Match,E18h,3Ah,E7Ah,3Ah
Difference,E52h,1h,EB4h,1h
Match,E53h,D4h,EB5h,D4h
Difference,F27h,1h,F89h,1h
Match,F28h,D6h,F8Ah,D6h
Difference,FFEh,2h,1060h,2h
Match,1000h,3h,1062h,3h
Difference,1003h,2h,1065h,2h
Match,1005h,2h,1067h,2h
Difference,1007h,2h,1069h,2h
Match,1009h,93h,106Bh,93h
Difference,109Ch,1h,10FEh,1h
Match,109Dh,Ch,10FFh,Ch
Difference,10A9h,1h,110Bh,1h
Match,10AAh,47h,110Ch,47h
Difference,10F1h,1h,1153h,1h
Match,10F2h,2Eh,1154h,2Eh
Difference,1120h,1h,1182h,1h
Match,1121h,6Eh,1183h,6Eh
Difference,118Fh,2h,11F1h,2h
Match,1191h,A8h,11F3h,A8h
Difference,1239h,1h,129Bh,1h
Match,123Ah,2Eh,129Ch,2Eh
Difference,1268h,2h,12CAh,2h
Match,126Ah,20h,12CCh,20h
Difference,128Ah,1h,12ECh,1h
Match,128Bh,CFh,12EDh,CFh
Difference,135Ah,2h,13BCh,2h
Match,135Ch,22h,13BEh,22h
Difference,137Eh,1h,13E0h,1h
Match,137Fh,2Bh,13E1h,2Bh
Difference,13AAh,2h,140Ch,2h
Match,13ACh,Dh,140Eh,Dh
Difference,13B9h,1h,141Bh,1h
Match,13BAh,2Eh,141Ch,2Eh
Difference,13E8h,2h,144Ah,2h
Match,13EAh,Fh,144Ch,Fh
Difference,13F9h,1h,145Bh,1h
Match,13FAh,67h,145Ch,67h
Difference,1461h,1h,14C3h,1h
Match,1462h,42h,14C4h,42h
Difference,14A4h,1h,1506h,1h
Match,14A5h,18h,1507h,18h
Difference,14BDh,2h,151Fh,2h
Match,14BFh,D7h,1521h,D7h
Difference,1596h,1h,15F8h,1h
Match,1597h,Ah,15F9h,Ah
Difference,15A1h,1h,1603h,1h
Match,15A2h,DDh,1604h,DDh
Difference,167Fh,1h,16E1h,1h
Match,1680h,2h,16E2h,2h
Difference,1682h,1h,16E4h,1h
Match,1683h,213h,16E5h,213h
Difference,1896h,1h,18F8h,1h
Match,1897h,15Eh,18F9h,15Eh
Difference,19F5h,2h,1A57h,2h
Match,19F7h,6h,1A59h,6h
Difference,19FDh,1h,1A5Fh,1h
Match,19FEh,2Ah,1A60h,2Ah
Difference,1A28h,1h,1A8Ah,1h
Match,1A29h,DAh,1A8Bh,DAh
Difference,1B03h,1h,1B65h,1h
Match,1B04h,30h,1B66h,30h
Difference,1B34h,1h,1B96h,1h
Match,1B35h,220h,1B97h,220h
Difference,1D55h,1h,1DB7h,1h
Match,1D56h,28h,1DB8h,28h
Difference,1D7Eh,1h,1DE0h,1h
Match,1D7Fh,Eh,1DE1h,Eh
Difference,1D8Dh,2h,1DEFh,2h
Match,1D8Fh,Ch,1DF1h,Ch
Difference,1D9Bh,2h,1DFDh,2h
Match,1D9Dh,Ch,1DFFh,Ch
Difference,1DA9h,2h,1E0Bh,2h
Match,1DABh,49h,1E0Dh,49h
Difference,1DF4h,2h,1E56h,2h
Match,1DF6h,14h,1E58h,14h
Difference,1E0Ah,1h,1E6Ch,1h
Match,1E0Bh,35h,1E6Dh,35h
Difference,1E40h,2h,1EA2h,2h
Match,1E42h,1Ch,1EA4h,1Ch
Difference,1E5Eh,2h,1EC0h,2h
Match,1E60h,2Ch,1EC2h,2Ch
Difference,1E8Ch,2h,1EEEh,2h
Match,1E8Eh,5Ah,1EF0h,5Ah
Difference,1EE8h,1h,1F4Ah,1h
Match,1EE9h,10Ah,1F4Bh,10Ah
Difference,1FF3h,2h,2055h,2h
Match,1FF5h,14h,2057h,14h
Difference,2009h,1h,206Bh,1h
Match,200Ah,Eh,206Ch,Eh
Difference,2018h,1h,207Ah,1h
