Result,Address A,Size A,Address B,Size B
Match,0h,14Ch,0h,14Ch
Difference,14Ch,4h,14Ch,4h
Match,150h,104h,150h,104h
Difference,254h,1h,254h,1h
Match,255h,1B7h,255h,1B7h
Difference,40Ch,1h,40Ch,1h
Match,40Dh,4Ah,40Dh,4Ah
Difference,457h,1h,457h,1h
Match,458h,21Dh,458h,21Dh
Difference,675h,1h,675h,1h
Match,676h,15h,676h,15h
Difference,68Bh,1h,68Bh,1h
Match,68Ch,5Eh,68Ch,5Eh
Difference,6EAh,1h,6EAh,1h
Match,6EBh,5h,6EBh,5h
Difference,6F0h,1h,6F0h,1h
Match,6F1h,7Ch,6F1h,7Ch
Difference,76Dh,1h,76Dh,1h
Match,76Eh,Ch,76Eh,Ch
Difference,77Ah,1h,77Ah,1h
Match,77Bh,3Dh,77Bh,3Dh
Difference,7B8h,1h,7B8h,1h
Match,7B9h,Ch,7B9h,Ch
Difference,7C5h,1h,7C5h,1h
Match,7C6h,Ch,7C6h,Ch
Difference,7D2h,1h,7D2h,1h
Match,7D3h,Ch,7D3h,Ch
Difference,7DFh,1h,7DFh,1h
Match,7E0h,Ch,7E0h,Ch
Difference,7ECh,1h,7ECh,1h
Match,7EDh,Ch,7EDh,Ch
Difference,7F9h,1h,7F9h,1h
Match,7FAh,59h,7FAh,59h
Difference,853h,1h,853h,1h
Match,854h,13CDh,854h,13CDh
Difference,1C21h,1h,1C21h,1h
Match,1C22h,533h,1C22h,533h
Difference,2155h,1h,2155h,1h
Match,2156h,56Ch,2156h,56Ch
Difference,26C2h,1h,26C2h,1h
Match,26C3h,41h,26C3h,41h
Difference,2704h,1h,2704h,1h
Match,2705h,47h,2705h,47h
Difference,274Ch,1h,274Ch,1h
Match,274Dh,1Ah,274Dh,1Ah
Difference,2767h,1h,2767h,1h
Match,2768h,8Eh,2768h,8Eh
Difference,27F6h,1h,27F6h,1h
Match,27F7h,146h,27F7h,146h
Difference,293Dh,1h,293Dh,1h
Match,293Eh,14h,293Eh,14h
Difference,2952h,1h,2952h,1h
Match,2953h,Fh,2953h,Fh
Difference,2962h,1h,2962h,1h
Match,2963h,1F5h,2963h,1F5h
Difference,2B58h,2h,2B58h,2h
Match,2B5Ah,Fh,2B5Ah,Fh
Difference,2B69h,1h,2B69h,1h
Match,2B6Ah,9Dh,2B6Ah,9Dh
Difference,2C07h,1h,2C07h,1h
Match,2C08h,CEh,2C08h,CEh
Difference,2CD6h,1h,2CD6h,1h
Match,2CD7h,350h,2CD7h,350h
Difference,3027h,1h,3027h,1h
Match,3028h,493h,3028h,493h
Difference,34BBh,1h,34BBh,1h
Match,34BCh,3AEh,34BCh,3AEh
Difference,386Ah,1h,386Ah,1h
Match,386Bh,149h,386Bh,149h
Difference,39B4h,1h,39B4h,1h
Match,39B5h,25Bh,39B5h,25Bh
Only in B,,,3C10h,2h
Match,3C10h,Eh,3C12h,Eh
Only in B,,,3C20h,2h
Match,3C1Eh,10Dh,3C22h,10Dh
Difference,3D2Bh,1h,3D2Fh,1h
Match,3D2Ch,Ch,3D30h,Ch
Difference,3D38h,1h,3D3Ch,1h
Match,3D39h,7h,3D3Dh,7h
Difference,3D40h,1h,3D44h,1h
Match,3D41h,4h,3D45h,4h
Difference,3D45h,1h,3D49h,1h
Match,3D46h,10h,3D4Ah,10h
Difference,3D56h,1h,3D5Ah,1h
Match,3D57h,3Eh,3D5Bh,3Eh
Difference,3D95h,1h,3D99h,1h
Match,3D96h,2Eh,3D9Ah,2Eh
Difference,3DC4h,1h,3DC8h,1h
Match,3DC5h,41h,3DC9h,41h
Difference,3E06h,1h,3E0Ah,1h
Match,3E07h,1Ah,3E0Bh,1Ah
Difference,3E21h,1h,3E25h,1h
Match,3E22h,44h,3E26h,44h
Difference,3E66h,1h,3E6Ah,1h
Match,3E67h,79h,3E6Bh,79h
Difference,3EE0h,1h,3EE4h,1h
Match,3EE1h,50h,3EE5h,50h
Only in A,3F31h,4h,,
Match,3F35h,39Dh,3F35h,39Dh
Difference,42D2h,1h,42D2h,1h
Match,42D3h,C4h,42D3h,C4h
Difference,4397h,1h,4397h,1h
Match,4398h,372h,4398h,372h
Difference,470Ah,1h,470Ah,1h
Match,470Bh,1Ch,470Bh,1Ch
Difference,4727h,1h,4727h,1h
Match,4728h,BEh,4728h,BEh
Difference,47E6h,1h,47E6h,1h
Match,47E7h,12h,47E7h,12h
