Result,Address A,Size A,Address B,Size B
Match,0h,41h,0h,41h
Difference,41h,1h,41h,1h
Match,42h,7h,42h,7h
Difference,49h,1h,49h,1h
Match,4Ah,F6h,4Ah,F6h
Difference,140h,2h,140h,2h
Match,142h,6h,142h,6h
Difference,148h,1h,148h,1h
Match,149h,4h,149h,4h
Difference,14Dh,3h,14Dh,3h
Match,150h,2h,150h,2h
Only in B,,,152h,4h
Match,152h,5h,156h,5h
Difference,157h,1h,15Bh,1h
Match,158h,16h,15Ch,16h
Difference,16Eh,1h,172h,1h
Match,16Fh,Ah,173h,Ah
Difference,179h,2h,17Dh,2h
Match,17Bh,Ah,17Fh,Ah
Difference,185h,1h,189h,1h
Match,186h,5h,18Ah,5h
Difference,18Bh,1h,18Fh,1h
Match,18Ch,2h,190h,2h
Difference,18Eh,1h,192h,1h
Match,18Fh,2h,193h,2h
Difference,191h,1h,195h,1h
Match,192h,2h,196h,2h
Difference,194h,1h,198h,1h
Match,195h,1Ch,199h,1Ch
Difference,1B1h,1h,1B5h,1h
Match,1B2h,3Bh,1B6h,3Bh
Difference,1EDh,1h,1F1h,1h
Match,1EEh,22h,1F2h,22h
Difference,210h,1h,214h,1h
Match,211h,2h,215h,2h
Difference,213h,1h,217h,1h
Match,214h,Fh,218h,Fh
Difference,223h,1h,227h,1h
Match,224h,2h,228h,2h
Difference,226h,1h,22Ah,1h
Match,227h,2h,22Bh,2h
Difference,229h,1h,22Dh,1h
Match,22Ah,2h,22Eh,2h
Difference,22Ch,1h,230h,1h
Match,22Dh,2h,231h,2h
Difference,22Fh,1h,233h,1h
Match,230h,2h,234h,2h
Difference,232h,1h,236h,1h
Match,233h,2h,237h,2h
Difference,235h,1h,239h,1h
Match,236h,8h,23Ah,8h
Difference,23Eh,1h,242h,1h
Match,23Fh,9h,243h,9h
Difference,248h,1h,24Ch,1h
Match,249h,Ah,24Dh,Ah
Difference,253h,1h,257h,1h
Match,254h,1h,258h,1h
Difference,255h,1h,259h,1h
Match,256h,1h,25Ah,1h
Difference,257h,1h,25Bh,1h
Match,258h,1h,25Ch,1h
Difference,259h,1h,25Dh,1h
Match,25Ah,1h,25Eh,1h
Difference,25Bh,1h,25Fh,1h
Match,25Ch,1h,260h,1h
Difference,25Dh,1h,261h,1h
Match,25Eh,1h,262h,1h
Difference,25Fh,1h,263h,1h
Match,260h,1h,264h,1h
Difference,261h,1h,265h,1h
Match,262h,1h,266h,1h
Difference,263h,1h,267h,1h
Match,264h,1h,268h,1h
Difference,265h,1h,269h,1h
Match,266h,1h,26Ah,1h
Difference,267h,1h,26Bh,1h
Match,268h,1h,26Ch,1h
Difference,269h,1h,26Dh,1h
Match,26Ah,1h,26Eh,1h
Difference,26Bh,1h,26Fh,1h
Match,26Ch,1h,270h,1h
Difference,26Dh,1h,271h,1h
Match,26Eh,1h,272h,1h
Difference,26Fh,1h,273h,1h
Match,270h,1h,274h,1h
Difference,271h,1h,275h,1h
Match,272h,4h,276h,4h
Difference,276h,1h,27Ah,1h
Match,277h,7h,27Bh,7h
Difference,27Eh,1h,282h,1h
Match,27Fh,7h,283h,7h
Difference,286h,1h,28Ah,1h
Match,287h,7h,28Bh,7h
Difference,28Eh,1h,292h,1h
Match,28Fh,2h,293h,2h
Difference,291h,1h,295h,1h
Match,292h,4h,296h,4h
Difference,296h,1h,29Ah,1h
Match,297h,7h,29Bh,7h
Difference,29Eh,1h,2A2h,1h
Match,29Fh,2h,2A3h,2h
Difference,2A1h,1h,2A5h,1h
Match,2A2h,4h,2A6h,4h
